,Tempo,CorrenteRMSM5_1020,CorrenteRMSM10_1020,CorrenteRMSM30_1020,CorrenteRMSM5_3060,CorrenteRMSM10_3060,CorrenteRMSM30_3060,Tempo,CorrenteCurtoseM5_1020,CorrenteCurtoseM10_1020,CorrenteCurtoseM30_1020,CorrenteCurtoseM5_3060,CorrenteCurtoseM10_3060,CorrenteCurtoseM30_3060,Tempo,CorrenteVarianciaM5_1020,CorrenteVarianciaM10_1020,CorrenteVarianciaM30_1020,CorrenteVarianciaM5_3060,CorrenteVarianciaM10_3060,CorrenteVarianciaM30_3060,Tempo,VibracaoCalotaInferiorRMSM5_1020,VibracaoCalotaInferiorRMSM10_1020,VibracaoCalotaInferiorRMSM30_1020,VibracaoCalotaInferiorRMSM5_3060,VibracaoCalotaInferiorRMSM10_3060,VibracaoCalotaInferiorRMSM30_3060,Tempo,VibracaoCalotaInferiorCurtoseM5_1020,VibracaoCalotaInferiorCurtoseM10_1020,VibracaoCalotaInferiorCurtoseM30_1020,VibracaoCalotaInferiorCurtoseM5_3060,VibracaoCalotaInferiorCurtoseM10_3060,VibracaoCalotaInferiorCurtoseM30_3060,Tempo,VibracaoCalotaInferiorVarianciaM5_1020,VibracaoCalotaInferiorVarianciaM10_1020,VibracaoCalotaInferiorVarianciaM30_1020,VibracaoCalotaInferiorVarianciaM5_3060,VibracaoCalotaInferiorVarianciaM10_3060,VibracaoCalotaInferiorVarianciaM30_3060,Tempo,VibracaoCalotaSuperiorRMSM5_1020,VibracaoCalotaSuperiorRMSM10_1020,VibracaoCalotaSuperiorRMSM30_1020,VibracaoCalotaSuperiorRMSM5_3060,VibracaoCalotaSuperiorRMSM10_3060,VibracaoCalotaSuperiorRMSM30_3060,Tempo,VibracaoCalotaSuperiorCurtoseM5_1020,VibracaoCalotaSuperiorCurtoseM10_1020,VibracaoCalotaSuperiorCurtoseM30_1020,VibracaoCalotaSuperiorCurtoseM5_3060,VibracaoCalotaSuperiorCurtoseM10_3060,VibracaoCalotaSuperiorCurtoseM30_3060,Tempo,VibracaoCalotaSuperiorVarianciaM5_1020,VibracaoCalotaSuperiorVarianciaM10_1020,VibracaoCalotaSuperiorVarianciaM30_1020,VibracaoCalotaSuperiorVarianciaM5_3060,VibracaoCalotaSuperiorVarianciaM10_3060,VibracaoCalotaSuperiorVarianciaM30_3060,Tempo,VazaoM5_1020,VazaoM10_1020,VazaoM30_1020,VazaoM5_3060,VazaoM10_3060,VazaoM30_3060,Tempo,lowpassRMSM5_1020,lowpassRMSM10_1020,lowpassRMSM30_1020,lowpassRMSM5_3060,lowpassRMSM10_3060,lowpassRMSM30_3060,Tempo,bandpassRMSM5_1020,bandpassRMSM10_1020,bandpassRMSM30_1020,bandpassRMSM5_3060,bandpassRMSM10_3060,bandpassRMSM30_3060,Tempo,highpassRMSM5_1020,highpassRMSM10_1020,highpassRMSM30_1020,highpassRMSM5_3060,highpassRMSM10_3060,highpassRMSM30_3060,Tempo,lowpassCurtoseM5_1020,lowpassCurtoseM10_1020,lowpassCurtoseM30_1020,lowpassCurtoseM5_3060,lowpassCurtoseM10_3060,lowpassCurtoseM30_3060,Tempo,bandpassCurtoseM5_1020,bandpassCurtoseM10_1020,bandpassCurtoseM30_1020,bandpassCurtoseM5_3060,bandpassCurtoseM10_3060,bandpassCurtoseM30_3060,Tempo,highpassCurtoseM5_1020,highpassCurtoseM10_1020,highpassCurtoseM30_1020,highpassCurtoseM5_3060,highpassCurtoseM10_3060,highpassCurtoseM30_3060
704,12.733377765,2,2,1,0,1,2,12.733377765,2,0,2,2,1,2,12.733377765,2,0,2,0,1,2,12.733377765,0,1,0,0,1,2,12.733377765,0,2,2,1,0,2,12.733377765,0,0,0,2,1,2,12.733377765,0,1,1,0,1,2,12.733377765,0,2,1,1,1,2,12.733377765,0,1,0,0,0,1,12.733377765,2,0,0,1,1,1,12.733377765,1,1,0,1,1,2,12.733377765,0,0,1,0,0,1,12.733377765,2,2,1,2,1,2,12.733377765,0,0,1,0,1,2,12.733377765,2,2,0,0,2,2,12.733377765,2,2,1,0,0,2
705,12.7500447872222,2,2,1,0,1,2,12.7500447872222,2,0,2,2,1,2,12.7500447872222,2,0,2,0,1,2,12.7500447872222,0,2,0,0,1,2,12.7500447872222,2,2,2,1,0,2,12.7500447872222,0,0,0,2,0,2,12.7500447872222,2,1,1,0,1,2,12.7500447872222,0,2,1,1,1,2,12.7500447872222,0,1,0,0,0,1,12.7500447872222,2,0,0,1,1,1,12.7500447872222,1,0,0,1,1,2,12.7500447872222,0,0,1,2,0,1,12.7500447872222,2,2,1,2,1,2,12.7500447872222,1,1,1,0,1,2,12.7500447872222,2,2,0,0,2,2,12.7500447872222,2,2,1,0,0,2
706,12.7667113761111,2,2,1,0,1,2,12.7667113761111,2,0,2,2,1,2,12.7667113761111,2,0,2,0,1,2,12.7667113761111,0,1,0,0,1,2,12.7667113761111,2,2,2,1,0,2,12.7667113761111,0,0,0,2,0,2,12.7667113761111,2,1,1,0,1,2,12.7667113761111,0,2,1,1,1,2,12.7667113761111,0,1,0,0,0,1,12.7667113761111,1,0,0,1,1,1,12.7667113761111,2,0,0,0,1,2,12.7667113761111,0,0,1,0,0,1,12.7667113761111,2,2,1,2,1,2,12.7667113761111,1,1,1,0,1,2,12.7667113761111,2,2,0,0,2,2,12.7667113761111,2,2,1,0,0,2
707,12.783378320555599,2,2,1,0,1,2,12.783378320555599,2,0,2,2,1,2,12.783378320555599,2,0,2,0,1,2,12.783378320555599,0,1,0,0,0,2,12.783378320555599,2,2,2,1,0,2,12.783378320555599,2,0,0,2,0,2,12.783378320555599,2,1,1,0,1,2,12.783378320555599,0,2,1,1,1,2,12.783378320555599,0,1,0,0,0,1,12.783378320555599,1,0,0,1,1,1,12.783378320555599,2,0,0,0,1,2,12.783378320555599,0,0,1,2,0,1,12.783378320555599,2,2,1,2,1,2,12.783378320555599,1,1,1,0,1,2,12.783378320555599,2,2,0,0,2,2,12.783378320555599,2,2,1,0,0,2
708,12.8000452622222,2,2,1,0,1,2,12.8000452622222,2,0,2,2,1,2,12.8000452622222,2,0,2,0,1,2,12.8000452622222,2,1,0,0,0,2,12.8000452622222,2,2,2,1,0,2,12.8000452622222,0,0,0,2,0,2,12.8000452622222,2,1,1,0,1,2,12.8000452622222,0,2,1,1,1,2,12.8000452622222,0,1,0,0,0,1,12.8000452622222,1,0,0,1,1,1,12.8000452622222,2,2,0,0,2,2,12.8000452622222,0,0,1,2,0,1,12.8000452622222,2,2,1,2,1,2,12.8000452622222,2,0,1,1,1,2,12.8000452622222,2,2,0,0,2,2,12.8000452622222,0,2,1,0,0,2
709,12.816712017777801,2,2,1,0,1,2,12.816712017777801,2,0,2,2,1,2,12.816712017777801,2,0,2,0,1,2,12.816712017777801,0,1,0,0,0,2,12.816712017777801,2,2,2,1,0,2,12.816712017777801,0,0,0,2,0,2,12.816712017777801,2,1,1,0,1,2,12.816712017777801,0,2,1,2,1,2,12.816712017777801,0,1,0,0,0,1,12.816712017777801,2,0,0,1,1,1,12.816712017777801,2,2,0,0,2,2,12.816712017777801,0,0,1,0,0,1,12.816712017777801,2,2,1,2,1,2,12.816712017777801,2,0,1,2,1,2,12.816712017777801,2,2,0,0,2,2,12.816712017777801,0,2,1,0,0,2
710,12.8333785761111,2,2,1,0,1,2,12.8333785761111,2,0,2,2,1,2,12.8333785761111,2,0,2,0,1,2,12.8333785761111,0,2,0,0,0,2,12.8333785761111,2,2,2,1,0,2,12.8333785761111,0,0,0,2,0,2,12.8333785761111,0,1,1,0,1,2,12.8333785761111,0,2,1,1,1,2,12.8333785761111,2,1,0,0,0,1,12.8333785761111,2,0,0,1,1,1,12.8333785761111,2,2,0,0,2,2,12.8333785761111,1,0,1,0,0,1,12.8333785761111,2,2,1,2,1,2,12.8333785761111,2,0,1,1,1,2,12.8333785761111,2,2,0,0,2,2,12.8333785761111,0,2,1,0,0,2
711,12.850045248333302,2,2,1,0,1,2,12.850045248333302,2,0,2,2,1,2,12.850045248333302,2,0,2,0,1,2,12.850045248333302,0,2,0,0,0,2,12.850045248333302,0,2,2,1,0,2,12.850045248333302,0,0,0,2,0,2,12.850045248333302,0,1,1,0,1,2,12.850045248333302,0,2,1,1,1,2,12.850045248333302,2,1,0,0,0,1,12.850045248333302,2,0,0,1,1,1,12.850045248333302,0,2,2,0,2,2,12.850045248333302,1,0,1,0,0,1,12.850045248333302,2,2,1,2,1,2,12.850045248333302,2,0,1,1,0,2,12.850045248333302,2,2,0,0,2,2,12.850045248333302,2,2,1,0,0,2
712,12.8667118511111,2,2,1,0,1,2,12.8667118511111,2,0,2,2,1,2,12.8667118511111,2,0,2,0,1,2,12.8667118511111,0,2,0,0,0,2,12.8667118511111,0,2,2,1,0,2,12.8667118511111,0,0,0,0,0,2,12.8667118511111,0,1,1,0,1,2,12.8667118511111,0,2,1,1,1,2,12.8667118511111,2,1,0,0,0,1,12.8667118511111,2,0,0,1,1,1,12.8667118511111,0,2,2,0,2,2,12.8667118511111,1,0,1,2,0,1,12.8667118511111,2,2,1,2,1,2,12.8667118511111,2,0,1,2,0,2,12.8667118511111,2,2,0,0,2,2,12.8667118511111,2,2,1,0,0,2
713,12.883378495555599,2,2,1,0,1,2,12.883378495555599,2,0,2,2,1,2,12.883378495555599,2,0,2,0,1,2,12.883378495555599,0,2,0,0,0,2,12.883378495555599,0,2,2,1,0,2,12.883378495555599,0,0,0,0,0,2,12.883378495555599,0,1,1,0,1,2,12.883378495555599,0,2,1,1,1,2,12.883378495555599,2,1,0,0,0,1,12.883378495555599,2,0,0,1,1,1,12.883378495555599,0,2,2,0,2,2,12.883378495555599,1,0,1,0,0,1,12.883378495555599,2,2,1,2,1,2,12.883378495555599,2,0,1,2,2,2,12.883378495555599,2,2,0,0,2,2,12.883378495555599,2,2,1,0,0,2
714,12.90004514,2,2,1,0,1,2,12.90004514,2,0,2,2,1,2,12.90004514,2,0,2,0,1,2,12.90004514,0,2,2,2,0,2,12.90004514,0,2,2,1,0,2,12.90004514,0,0,0,2,1,2,12.90004514,0,1,1,1,1,2,12.90004514,0,2,1,1,1,2,12.90004514,2,1,0,2,0,1,12.90004514,2,0,0,1,1,1,12.90004514,1,2,2,2,2,2,12.90004514,0,0,1,0,0,1,12.90004514,2,2,1,2,1,2,12.90004514,2,0,1,0,0,2,12.90004514,2,2,0,0,2,2,12.90004514,2,2,1,0,0,2
715,12.916711995555598,2,2,1,0,1,2,12.916711995555598,2,0,2,2,1,2,12.916711995555598,2,0,2,0,1,2,12.916711995555598,2,2,2,2,1,2,12.916711995555598,0,2,2,1,0,2,12.916711995555598,0,0,0,2,1,2,12.916711995555598,0,1,1,1,1,2,12.916711995555598,0,2,1,1,1,2,12.916711995555598,2,1,0,2,0,1,12.916711995555598,2,0,0,1,1,1,12.916711995555598,1,1,0,2,1,2,12.916711995555598,0,0,1,0,0,1,12.916711995555598,2,2,1,2,1,2,12.916711995555598,2,0,1,2,2,2,12.916711995555598,2,2,0,0,2,2,12.916711995555598,2,2,1,0,0,2
716,12.9333786011111,2,2,1,0,1,2,12.9333786011111,2,0,2,2,1,2,12.9333786011111,2,0,2,0,1,2,12.9333786011111,2,2,2,2,1,2,12.9333786011111,0,2,2,1,0,2,12.9333786011111,0,0,0,2,1,2,12.9333786011111,0,1,1,1,1,2,12.9333786011111,0,2,1,1,1,2,12.9333786011111,2,1,0,2,0,1,12.9333786011111,2,0,0,1,1,1,12.9333786011111,1,0,2,2,1,2,12.9333786011111,0,0,1,0,0,1,12.9333786011111,2,2,1,2,1,2,12.9333786011111,1,0,1,2,0,2,12.9333786011111,1,2,0,0,2,2,12.9333786011111,2,2,1,0,0,2
717,12.9500453177778,2,2,1,0,1,2,12.9500453177778,2,0,2,2,1,2,12.9500453177778,2,0,2,0,1,2,12.9500453177778,2,2,2,1,1,2,12.9500453177778,0,2,2,1,0,2,12.9500453177778,0,0,0,2,1,2,12.9500453177778,2,1,1,1,1,2,12.9500453177778,0,2,1,1,1,2,12.9500453177778,0,1,0,2,0,1,12.9500453177778,2,0,0,1,1,1,12.9500453177778,1,0,0,2,1,2,12.9500453177778,0,0,1,0,0,1,12.9500453177778,2,2,1,2,1,2,12.9500453177778,1,0,1,2,0,2,12.9500453177778,1,2,0,0,2,2,12.9500453177778,2,2,1,0,0,2
718,12.966712159444402,2,2,1,0,1,2,12.966712159444402,2,0,2,2,1,2,12.966712159444402,2,0,2,0,1,2,12.966712159444402,2,2,2,1,1,2,12.966712159444402,0,2,2,1,0,2,12.966712159444402,0,0,0,2,1,2,12.966712159444402,0,1,1,1,1,2,12.966712159444402,0,2,1,1,1,2,12.966712159444402,2,1,0,2,0,1,12.966712159444402,2,0,0,1,1,1,12.966712159444402,1,0,0,2,1,2,12.966712159444402,0,0,1,0,0,1,12.966712159444402,2,2,1,2,1,2,12.966712159444402,1,1,1,2,0,2,12.966712159444402,1,2,0,2,2,2,12.966712159444402,2,2,1,0,0,2
719,12.9833793261111,2,2,1,0,1,2,12.9833793261111,2,0,2,2,1,2,12.9833793261111,2,0,2,0,1,2,12.9833793261111,0,2,2,2,1,2,12.9833793261111,0,2,2,1,0,2,12.9833793261111,0,0,0,2,1,2,12.9833793261111,0,1,1,1,1,2,12.9833793261111,0,2,1,1,1,2,12.9833793261111,2,1,0,2,0,1,12.9833793261111,2,0,0,1,1,1,12.9833793261111,1,0,0,1,1,2,12.9833793261111,0,0,1,0,0,1,12.9833793261111,2,2,1,0,1,2,12.9833793261111,1,1,1,2,0,2,12.9833793261111,1,2,0,0,2,2,12.9833793261111,2,2,1,1,0,2
